CUST_ORDER_ID,LOCATION_ID,PART_ID,TYPE,QTY,TRANSACTION_DATE,CREATE_DATE,USER_ID,PICK_HOUR,DAY_OF_WEEK,ZONE,AISLE_BIN,ORDER_SIZE,TOTAL_ORDER_QTY,PREV_LOCATION,NEXT_LOCATION,SECONDS_SINCE_LAST_PICK,LOCATION_RANK
015619,D4000000,1097062059,O,2.00000000,2009-04-20 00:00:00.000,2009-04-20 13:42:19.737,JUDER,13,2,D,4000000,4205,16646.00000000,NULL,D4000000,NULL,1
015619,D4000000,1081104001,O,1.00000000,2009-04-20 00:00:00.000,2009-04-20 13:44:21.890,JUDER,13,2,D,4000000,4205,16646.00000000,D4000000,D6000000,122,2
015619,D6000000,1040021101,O,5.00000000,2009-04-20 00:00:00.000,2009-04-20 13:47:26.993,JUDER,13,2,D,6000000,4205,16646.00000000,D4000000,D7000000,185,3
015619,D7000000,1010333101,O,5.00000000,2009-04-20 00:00:00.000,2009-04-20 14:00:18.530,JUDER,14,2,D,7000000,4205,16646.00000000,D6000000,D8358900,772,4
015619,D8358900,1097082009,O,2.00000000,2009-04-20 00:00:00.000,2009-04-20 14:01:44.093,JUDER,14,2,D,8358900,4205,16646.00000000,D7000000,D4000000,86,5
013067-1,D4000000,1083341001,O,1.00000000,2009-04-20 00:00:00.000,2009-04-20 14:17:18.313,JUDER,14,2,D,4000000,4205,16646.00000000,D8358900,E7467900,934,1
015616,E7467900,1412051001,O,1.00000000,2009-04-20 00:00:00.000,2009-04-20 14:31:18.440,JUDER,14,2,E,7467900,4205,16646.00000000,D4000000,F7000000,840,1
015398,F7000000,1030076013,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 11:33:44.567,JUDER,11,3,F,7000000,4205,16646.00000000,E7467900,D8348400,75746,1
015398,D8348400,1018003001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 11:36:27.293,JUDER,11,3,D,8348400,4205,16646.00000000,F7000000,D4000000,163,2
015398,D4000000,1019093101,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 11:37:59.263,JUDER,11,3,D,4000000,4205,16646.00000000,D8348400,E4000000,92,3
015398,E4000000,1083311001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 11:39:39.390,JUDER,11,3,E,4000000,4205,16646.00000000,D4000000,E4000000,100,4
015398,E4000000,1081084001,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 11:40:45.297,JUDER,11,3,E,4000000,4205,16646.00000000,E4000000,D5000000,66,5
015398,D5000000,1035196101,O,1.00000000,2009-04-21 00:00:00.000,2009-04-21 11:43:41.820,JUDER,11,3,D,5000000,4205,16646.00000000,E4000000,D8348000,176,6
015398,D8348000,1010093101,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 11:46:26.187,JUDER,11,3,D,8348000,4205,16646.00000000,D5000000,D7347900,165,7
015398,D7347900,1015113101,O,2.00000000,2009-04-21 00:00:00.000,2009-04-21 11:47:48.250,JUDER,11,3,D,7347900,4205,16646.00000000,D8348000,D8398500,82,8
015398,D8398500,1010093121,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 11:49:27.223,JUDER,11,3,D,8398500,4205,16646.00000000,D7347900,G8648100,99,9
015398,G8648100,1611221001,O,4.00000000,2009-04-21 00:00:00.000,2009-04-21 11:52:02.780,JUDER,11,3,G,8648100,4205,16646.00000000,D8398500,G8648000,155,10
