CUST_ORDER_ID,LOCATION_ID,LOCATION_RANK
284986,F7557800,1
284986,F7557800,2
284986,F6506800,3
284986,MISC,4
286694-2,E4494800,1
286694-2,E4494800,2
286694-2,E4494800,3
286694-2,E4494800,4
286853-2,F4544701,1
286895,C4244900,1
286895,F4564500,2
286895,E5495700,3
286895,G7607500,4
286895,F8558000,5
286895,F8558000,6
286895,E4444200,7
286895,F4594000,8
286895,F4564800,9
286895,F4564800,10
286908-3,F6546200,1
287038-1,E4444700,1
287038-1,E4444700,2
287038-1,E4444700,3
287038-1,E4444700,4
287038-1,E4444700,5
287038-1,E4444700,6
287046-1,E4464800,1
287046-1,E4464800,2
287072,F4504700,1
287072,F4504700,2
287072,D8308700,3
287072,D8348601,4
287072,E4444700,5
287072,E4444700,6
287072,MISC,7
287078,F4564600,1
287078,F4564600,2
287078,E4464700,3
287078,E4464700,4
287078,E4464700,5
287078,E4464300,6
287078,E4464800,7
287078,E4464800,8
287078,E4464800,9
287078,E4464800,10
287078,F5595800,11
287078,F5595800,12
287078,F5595800,13
287078,E4494500,14
287078,E4494500,15
287078,E4464900,16
287078,E4444900,17
287078,E4444900,18
287078,D4344600,19
287078,E4494801,20
287078,G7607100,21
287078,G7607100,22
287078,G7607100,23
287078,G7607100,24
287078,E4404900,25
287078,E4404900,26
287078,E4404800,27
287078,E4404800,28
287078,F4504400,29
287078,G7607200,30
287078,G7607200,31
287078,G7607200,32
287078,G7607200,33
287078,F7557500,34
287078,F7557500,35
287078,F7557500,36
287078,F7557500,37
287078,D4394400,38
287078,D4394400,39
287078,F4594500,40
287078,F4594500,41
287078,F4594500,42
287078,F4594500,43
287078,F8000000,44
287078,F8000000,45
287078,F8000000,46
287078,F8000000,47
287078,F4544400,48
287078,F4544400,49
287078,B4000000,50
287078,B4000000,51
287078,B4000000,52
287078,B4000000,53
287078,F4594302,54
287078,F4594302,55
287078,F4594302,56
287078,F4594302,57
287078,F4594302,58
287078,F4594302,59
287078,G6646502,60
287078,G6646502,61
287078,G6646502,62
287078,G6646502,63
287078,B4000000,64
287078,B4000000,65
287078,B4000000,66
287078,B4000000,67
287117,F7557800,1
287117,F7557800,2
287117,E8000000,3
287117,E8000000,4
287117,MISC,5
287149,E4494500,1
287149,E4494400,2
287149,E4494900,3
287149,E4494900,4
287149,E4494900,5
287149,E4494900,6
287149,E4494900,7
287149,E4494900,8
287149,E4494900,9
287149,E4494900,10
287149,D4354200,11
287149,D4354200,12
287172,F4544800,1
287172,F4544800,2
287172,F4544800,3
287172,F4544600,4
287172,MISC,5
287176,C4244900,1
287176,C4244900,2
287176,C4244900,3
287176,C4244900,4
287185-1,E4444700,1
287185-1,E4444700,2
287206,F8558700,1
287223-1,E4444500,1
287223-1,E4444500,2
287223-1,E4444500,3
287223-1,E4444500,4
287223-1,E4444500,5
287223-1,E4444500,6
287223-1,E4444500,7
287223-1,E4444500,8
287232,E4444700,1
287240,F6506900,1
287244,F4544400,1
287256,E4464700,1
287257,B4000000,1
287258,D4344200,1
287258,D4344200,2
287262,F4544400,1
287263,D4344000,1
287267,F7507400,1
287267,C4204901,2
287268,E4404600,1
287268,E4404600,2
287274,E4444100,1
287276,C4204501,1
287276,C4244200,2
287276,G8658700,3
287276,G6606900,4
287280,F5545600,1
287280,MISC,2
287289,E4494800,1
287289,E4464700,2
287289,E4464700,3
287289,E4464400,4
287289,E4464400,5
287291,G6606200,1
287291,E4464200,2
287299,G7647200,1
287299,G7647200,2
287299,G7647200,3
287299,C4204900,4
287304,F5555800,1
287304,F6556100,2
287310,F7507400,1
287314-2,E4444700,1
287314-2,E4444700,2
287314-2,E4444700,3
287314-2,E4444700,4
287314-2,E4444700,5
287314-2,E4444700,6
287314-2,E4444700,7
287314-2,E4444700,8
287314-2,E4444700,9
287314-2,E4444700,10
287319,F5555800,1
287319,C4254800,2
287319,C4254800,3
287319,C4254800,4
287319,C4254800,5
287319,C4254400,6
287319,C4254400,7
287319,C4294700,8
287319,C4294700,9
287319,C4294700,10
287319,C4294700,11
287319,C4294700,12
